resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
191,0.01,0.749142,1.398512,29,27,0.376623,0.931034
192,0.01,0.79,1.366884,28,24,0.363636,0.857143
193,0.01,0.771368,1.368992,29,25,0.376623,0.862069
194,0.01,0.837134,1.366884,28,24,0.363636,0.857143
195,0.01,0.862657,1.351597,28,23,0.363636,0.821429
196,0.01,0.750327,1.374527,32,28,0.415584,0.875
197,0.01,0.654123,1.364619,27,23,0.350649,0.851852
198,0.01,0.88242,1.329255,26,20,0.337662,0.769231
199,0.01,0.801061,1.309953,29,21,0.376623,0.724138
200,0.01,0.772728,1.324713,29,22,0.376623,0.758621
201,0.01,0.779978,1.368992,29,25,0.376623,0.862069
202,0.01,0.828217,1.366884,28,24,0.363636,0.857143
203,0.01,0.807168,1.324713,29,22,0.376623,0.758621
204,0.01,0.801128,1.363178,33,28,0.428571,0.848485
205,0.01,0.734469,1.368992,29,25,0.376623,0.862069
206,0.01,0.814417,1.368992,29,25,0.376623,0.862069
207,0.01,0.811566,1.397457,28,26,0.363636,0.928571
208,0.01,0.802161,1.354233,29,24,0.376623,0.827586
209,0.01,0.758676,1.301207,27,19,0.350649,0.703704
210,0.01,0.757215,1.348766,27,22,0.350649,0.814815
211,0.01,0.822938,1.345186,31,25,0.402597,0.806452
212,0.01,0.84411,1.309953,29,21,0.376623,0.724138
213,0.01,0.632893,1.396325,27,25,0.350649,0.925926
214,0.01,0.821959,1.36218,26,22,0.337662,0.846154
215,0.01,0.710372,1.350207,22,18,0.285714,0.818182
216,0.01,0.781653,1.369663,22,19,0.285714,0.863636
217,0.01,0.822784,1.350207,33,27,0.428571,0.818182
218,0.01,0.655351,1.396325,27,25,0.350649,0.925926
219,0.01,0.796824,1.356693,24,20,0.311688,0.833333
220,0.01,0.763065,1.358994,31,26,0.402597,0.83871
221,0.01,0.771663,1.321023,24,18,0.311688,0.75
222,0.01,0.721685,1.301207,27,19,0.350649,0.703704
223,0.01,0.838438,1.356693,24,20,0.311688,0.833333
224,0.01,0.739043,1.366884,28,24,0.363636,0.857143
225,0.01,0.788967,1.332913,27,21,0.350649,0.777778
226,0.01,0.817938,1.364619,27,23,0.350649,0.851852
227,0.01,0.754526,1.364619,27,23,0.350649,0.851852
228,0.01,0.740407,1.33631,28,22,0.363636,0.785714
229,0.01,0.795437,1.352496,34,28,0.441558,0.823529
230,0.01,0.734756,1.348766,27,22,0.350649,0.814815
231,0.01,0.769561,1.328157,30,23,0.38961,0.766667
