resample,threshold,oob_cpwer,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
961,0.01,0.673846,27,25,0.350649,0.925926
962,0.01,0.828432,32,26,0.415584,0.8125
963,0.01,0.679157,30,24,0.38961,0.8
964,0.01,0.756652,29,24,0.376623,0.827586
965,0.01,0.898461,28,20,0.363636,0.714286
966,0.01,0.764297,31,24,0.402597,0.774194
967,0.01,0.741849,29,25,0.376623,0.862069
968,0.01,0.831514,26,23,0.337662,0.884615
969,0.01,0.704783,24,18,0.311688,0.75
970,0.01,0.763474,25,22,0.324675,0.88
971,3.31,0.93239,31,25,0.402597,0.806452
972,0.01,0.901746,22,17,0.285714,0.772727
973,0.01,0.777605,29,23,0.376623,0.793103
974,0.01,0.832934,26,22,0.337662,0.846154
975,0.01,0.755894,27,22,0.350649,0.814815
976,0.01,0.742543,27,25,0.350649,0.925926
977,0.01,0.810427,28,23,0.363636,0.821429
978,0.01,0.770072,36,30,0.467532,0.833333
979,0.01,0.796369,28,24,0.363636,0.857143
980,0.01,0.688425,27,24,0.350649,0.888889
981,0.01,0.757588,30,25,0.38961,0.833333
982,0.01,0.857652,28,21,0.363636,0.75
983,0.01,0.75442,28,22,0.363636,0.785714
984,0.01,0.725359,30,28,0.38961,0.933333
985,0.01,0.872102,27,23,0.350649,0.851852
986,0.01,0.826943,28,24,0.363636,0.857143
987,0.01,0.672211,25,21,0.324675,0.84
988,0.01,0.889402,29,26,0.376623,0.896552
989,0.01,0.77514,25,17,0.324675,0.68
990,0.01,0.861287,29,22,0.376623,0.758621
991,3.22,0.729518,27,23,0.350649,0.851852
992,0.01,0.834227,29,22,0.376623,0.758621
993,0.01,0.807651,30,22,0.38961,0.733333
994,0.01,0.775315,26,22,0.337662,0.846154
995,0.01,0.709986,30,26,0.38961,0.866667
996,0.01,0.775506,30,23,0.38961,0.766667
997,0.01,0.777758,30,26,0.38961,0.866667
998,3.22,0.823414,28,20,0.363636,0.714286
999,3.31,0.842488,33,25,0.428571,0.757576
1000,0.01,0.820627,27,22,0.350649,0.814815
1001,0.01,0.777078,27,21,0.350649,0.777778
1002,0.01,0.722408,24,22,0.311688,0.916667
1003,0.01,0.82459,27,22,0.350649,0.814815
1004,0.01,0.736077,27,22,0.350649,0.814815
1005,0.01,0.79,28,24,0.363636,0.857143
1006,0.01,0.782311,28,25,0.363636,0.892857
1007,0.01,0.790612,32,24,0.415584,0.75
1008,0.01,0.721254,28,23,0.363636,0.821429
1009,0.01,0.733295,27,25,0.350649,0.925926
1010,0.01,0.804727,27,23,0.350649,0.851852
1011,0.01,0.828227,33,26,0.428571,0.787879
1012,0.01,0.755987,27,20,0.350649,0.740741
1013,3.31,1.073255,29,20,0.376623,0.689655
1014,3.31,0.976652,33,23,0.428571,0.69697
1015,0.01,0.812322,30,24,0.38961,0.8
1016,0.01,0.852633,29,23,0.376623,0.793103
1017,0.01,0.800566,32,26,0.415584,0.8125
1018,0.01,0.742908,34,30,0.441558,0.882353
1019,0.01,0.784968,31,25,0.402597,0.806452
1020,0.01,0.761154,24,20,0.311688,0.833333
1021,0.01,0.863116,26,22,0.337662,0.846154
1022,0.01,0.850608,25,20,0.324675,0.8
1023,0.01,0.762871,26,24,0.337662,0.923077
1024,0.01,0.886681,27,22,0.350649,0.814815
1025,0.01,0.889533,29,23,0.376623,0.793103
1026,0.01,0.861383,28,23,0.363636,0.821429
1027,0.01,0.750159,38,33,0.493506,0.868421
1028,0.01,0.726286,31,25,0.402597,0.806452
1029,0.01,0.842967,29,19,0.376623,0.655172
1030,0.01,0.804027,26,24,0.337662,0.923077
1031,0.01,0.79179,31,27,0.402597,0.870968
1032,3.22,0.935165,30,20,0.38961,0.666667
1033,0.01,0.676703,29,24,0.376623,0.827586
1034,0.01,0.696466,25,21,0.324675,0.84
1035,0.01,0.822788,34,26,0.441558,0.764706
1036,0.01,0.721254,28,23,0.363636,0.821429
1037,0.01,0.675118,26,23,0.337662,0.884615
1038,0.01,0.759903,27,21,0.350649,0.777778
1039,0.01,0.800057,26,21,0.337662,0.807692
1040,0.01,0.801996,25,22,0.324675,0.88
1041,0.01,0.803322,25,24,0.324675,0.96
1042,0.01,0.81518,33,28,0.428571,0.848485
1043,0.01,0.763913,27,20,0.350649,0.740741
1044,0.01,0.728149,22,19,0.285714,0.863636
1045,0.01,0.817892,26,21,0.337662,0.807692
1046,0.01,0.73459,34,28,0.441558,0.823529
1047,0.01,0.806178,32,25,0.415584,0.78125
1048,0.01,0.692952,26,23,0.337662,0.884615
1049,0.01,0.827078,28,21,0.363636,0.75
1050,0.01,0.767069,28,24,0.363636,0.857143
1051,0.01,0.82044,27,26,0.350649,0.962963
1052,0.01,0.778352,27,22,0.350649,0.814815
1053,0.01,0.769058,27,23,0.350649,0.851852
1054,3.31,1.024724,31,20,0.402597,0.645161
1055,0.01,0.797643,28,24,0.363636,0.857143
1056,0.01,0.729227,32,26,0.415584,0.8125
1057,0.01,0.790148,27,24,0.350649,0.888889
1058,0.01,0.72031,32,26,0.415584,0.8125
1059,0.01,0.696296,29,26,0.376623,0.896552
1060,0.01,0.760255,29,26,0.376623,0.896552
1061,0.01,0.730439,36,30,0.467532,0.833333
1062,0.01,0.866905,37,30,0.480519,0.810811
1063,3.31,0.913043,33,26,0.428571,0.787879
1064,0.01,0.777529,34,30,0.441558,0.882353
1065,0.01,0.734512,29,24,0.376623,0.827586
1066,0.01,0.751685,30,24,0.38961,0.8
1067,0.01,0.725772,29,27,0.376623,0.931034
1068,0.01,0.740816,30,28,0.38961,0.933333
