con,pro,overlap_ratio,track,cure,cer,max_compression_ratio,repetition,n_segments
con_002.wav,pro_008.wav,0.3,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.3,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.35,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.35,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.35,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.35,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.35,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.35,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.35,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.35,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.35,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.35,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.4,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.4,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.4,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.4,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.4,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.4,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.4,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.4,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.4,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.4,spk2,beam5,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.45,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.45,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.45,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.45,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.45,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.45,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.45,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.45,spk2,halluc_silence,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.45,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.45,spk2,beam5,0.4,0.7317,0,1
con_002.wav,pro_008.wav,0.5,spk1,greedy_baseline,0.727273,0.9,0,1
con_002.wav,pro_008.wav,0.5,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.5,spk1,halluc_silence,0.727273,0.9,0,1
con_002.wav,pro_008.wav,0.5,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.5,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.5,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.5,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.5,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.5,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.5,spk2,beam5,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.6,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.6,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.6,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.6,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.6,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.6,spk2,greedy_baseline,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.6,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.6,spk2,halluc_silence,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.6,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.6,spk2,beam5,0.4,0.7317,0,1
con_002.wav,pro_008.wav,0.7,spk1,greedy_baseline,0.727273,0.9,0,1
con_002.wav,pro_008.wav,0.7,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.7,spk1,halluc_silence,0.727273,0.9,0,1
con_002.wav,pro_008.wav,0.7,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.7,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.7,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.7,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.7,spk2,halluc_silence,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.7,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.7,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.8,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.8,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.8,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.8,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.8,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.8,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.8,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.8,spk2,halluc_silence,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.8,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.8,spk2,beam5,0.0,0.7317,0,1
con_002.wav,pro_008.wav,0.9,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.9,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.9,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.9,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.9,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.9,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.9,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.9,spk2,halluc_silence,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.9,spk2,halluc_silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.9,spk2,beam5,0.3,0.7317,0,1
con_003.wav,pro_015.wav,0.0,spk1,greedy_baseline,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.0,spk1,silence_trim,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.0,spk1,halluc_silence,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.0,spk1,halluc_silence_trim,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.0,spk1,beam5,0.818182,0.7105,0,1
con_003.wav,pro_015.wav,0.0,spk2,greedy_baseline,0.428571,0.6562,0,1
con_003.wav,pro_015.wav,0.0,spk2,silence_trim,0.285714,0.6562,0,1
con_003.wav,pro_015.wav,0.0,spk2,halluc_silence,0.428571,0.6562,0,1
con_003.wav,pro_015.wav,0.0,spk2,halluc_silence_trim,0.285714,0.6562,0,1
con_003.wav,pro_015.wav,0.0,spk2,beam5,0.428571,0.6562,0,1
con_003.wav,pro_015.wav,0.05,spk1,greedy_baseline,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.05,spk1,silence_trim,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.05,spk1,halluc_silence,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.05,spk1,halluc_silence_trim,0.909091,0.7105,0,1
con_003.wav,pro_015.wav,0.05,spk1,beam5,0.818182,0.7105,0,1
con_003.wav,pro_015.wav,0.05,spk2,greedy_baseline,0.285714,0.6562,0,1
