window_id,overlap_ratio,overlap_label,num_speakers,tiny_sep_cpwer,base_sep_cpwer,tiny_sep_char_cer,base_sep_char_cer,tiny_mix_cpwer,base_mix_cpwer,kl_sep,kl_mix,mix_ratio_bucket,cascade_escalated_sep
56,0.1959,LightOverlap,2,1.0,0.4280312679139982,0.8590308370044053,0.36769205834021873,1.0,0.48259565606347243,4.256862526073284,3.13245507595369,0.15,True
57,0.0036,NoOverlap,2,2.0,0.8560625358279964,0.9782608695652174,0.4187262403506504,1.0,0.5186334211037955,3.8573193281166156,0.0,0.0,True
58,0.0,NoOverlap,1,1.0,0.4280312679139982,0.8193548387096774,0.3507094904843727,2.0,1.037266842207591,3.9242975493426364,3.471510753570002,0.0,True
59,0.0,NoOverlap,2,1.0,0.4280312679139982,0.7834394904458599,0.3353365984294381,1.0,0.5186334211037955,3.892263871961909,0.0,0.0,True
60,0.0346,NoOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
61,0.0785,LightOverlap,2,1.0,0.4280312679139982,0.7712765957446809,0.330130499188988,1.0,0.48259565606347243,3.6959919827161793,3.3403108288284376,0.15,True
62,0.0274,NoOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,3.2221047154766267,0.0,False
63,0.0848,LightOverlap,2,3.0,1.2840938037419947,0.9757281553398058,0.4176421594694837,1.0,0.48259565606347243,4.050019131927801,0.0,0.15,True
64,0.0,NoOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
65,0.1842,LightOverlap,3,2.6666666666666665,1.1414167144373284,0.9441624365482234,0.40413104483250595,1.0,0.48259565606347243,3.330553509909418,0.0,0.15,True
66,0.1743,LightOverlap,3,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.48259565606347243,6.733699466605215,0.0,0.15,True
67,0.0547,LightOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,8.52545893583327,0.0,0.0,True
68,0.3405,MidOverlap,4,3.0,1.2840938037419947,0.9655172413793104,0.41327156902041207,1.0,0.22560530248132618,3.424078514407512,3.4605074174589756,0.35,True
69,0.143,LightOverlap,2,1.5,0.6420469018709973,0.8613861386138614,0.3687002010744341,1.0,0.48259565606347243,3.4972769215354966,3.1549267850966847,0.15,True
70,0.2049,MidOverlap,3,1.6666666666666667,0.7133854465233304,0.9572192513368984,0.4097197698214208,1.0,0.48259565606347243,3.805990123774442,4.427520675598939,0.15,True
71,0.1588,LightOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.48259565606347243,0.0,0.0,0.15,False
72,0.2605,MidOverlap,4,1.75,0.7490547188494968,0.943089430894309,0.40367176486198203,1.0,0.22560530248132618,3.516357989854599,0.0,0.35,True
73,0.1979,LightOverlap,3,4.333333333333333,1.8548021609606589,0.9619565217391305,0.4117474696781396,1.0,0.48259565606347243,3.5465419688553768,0.0,0.15,True
74,0.3785,MidOverlap,4,1.5,0.6420469018709973,0.9409282700421941,0.40274672044228527,1.0,0.22560530248132618,3.7461827330152078,0.0,0.35,True
75,0.0434,NoOverlap,2,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,2.736258979995368,0.0,False
76,0.0,NoOverlap,1,3.0,1.2840938037419947,0.8985507246376812,0.3846078059517085,1.0,0.5186334211037955,3.912089346079956,0.0,0.0,True
