pair_id,overlap_ratio,snr_db,cer_mixed,cer_sep,cer_sep_trim,cr_sep1,cr_sep1_trim
5,0.9,0.0,0.941176,0.882353,0.882353,1.0741,1.0741
6,0.0,None,0.277778,0.277778,0.277778,0.7105,0.75
6,0.0,20.0,0.277778,0.277778,0.277778,0.8182,0.8182
6,0.0,10.0,0.333333,0.388889,0.388889,0.7317,0.7317
6,0.0,5.0,0.444444,0.833333,0.833333,0.75,0.75
6,0.0,0.0,0.777778,0.944444,0.944444,0.7692,0.7692
6,0.1,None,0.333333,0.333333,0.277778,0.7105,0.75
6,0.1,20.0,0.222222,0.444444,0.444444,0.7273,0.7273
6,0.1,10.0,0.166667,0.444444,0.444444,0.7317,0.7317
6,0.1,5.0,6.222222,0.5,0.5,0.7105,0.7105
6,0.1,0.0,0.777778,1.055556,1.055556,0.7273,0.7273
6,0.2,None,0.333333,0.222222,0.277778,0.7105,0.75
6,0.2,20.0,0.388889,0.277778,0.277778,0.7273,0.7273
6,0.2,10.0,0.555556,0.444444,0.444444,0.7317,0.7317
6,0.2,5.0,0.5,0.5,0.5,0.6857,0.6857
6,0.2,0.0,0.5,0.722222,0.722222,0.6562,0.6562
6,0.4,None,0.666667,0.222222,0.277778,0.7105,0.75
6,0.4,20.0,0.5,0.277778,0.277778,0.7273,0.7273
6,0.4,10.0,0.444444,0.333333,0.333333,0.7317,0.7317
6,0.4,5.0,0.444444,0.5,0.5,0.7105,0.7105
6,0.4,0.0,0.611111,0.666667,0.666667,0.6562,0.6562
6,0.6,None,0.666667,0.222222,0.277778,0.7105,0.75
6,0.6,20.0,0.5,0.333333,0.333333,0.7273,0.7273
6,0.6,10.0,0.5,0.388889,0.388889,0.7317,0.7317
6,0.6,5.0,0.666667,0.722222,0.722222,0.6857,0.6857
6,0.6,0.0,0.777778,0.5,0.5,0.6562,0.6562
6,0.9,None,0.444444,0.222222,0.277778,0.7105,0.75
6,0.9,20.0,0.555556,0.277778,0.277778,0.7273,0.7273
6,0.9,10.0,0.722222,0.5,0.5,0.7317,0.7317
6,0.9,5.0,0.722222,0.666667,0.666667,0.75,0.75
6,0.9,0.0,0.888889,0.888889,0.888889,0.7273,0.7273
7,0.0,None,0.409091,0.5,0.272727,0.78,0.8125
7,0.0,20.0,0.5,0.545455,0.545455,0.78,0.78
7,0.0,10.0,0.681818,0.863636,0.863636,0.0,0.0
7,0.0,5.0,0.636364,0.681818,0.681818,0.7708,0.7708
7,0.0,0.0,1.045455,0.772727,0.772727,0.75,0.75
7,0.1,None,0.727273,0.5,0.272727,0.78,0.8125
7,0.1,20.0,0.590909,0.5,0.5,0.7857,0.7857
7,0.1,10.0,0.590909,0.727273,0.727273,0.8679,0.8679
7,0.1,5.0,0.5,0.727273,0.727273,0.75,0.75
7,0.1,0.0,0.909091,0.909091,0.909091,0.0,0.0
7,0.2,None,0.272727,0.5,0.272727,0.78,0.8125
7,0.2,20.0,0.636364,0.545455,0.545455,0.78,0.78
7,0.2,10.0,0.636364,0.863636,0.863636,0.0,0.0
7,0.2,5.0,0.727273,0.818182,0.818182,0.0,0.0
7,0.2,0.0,0.954545,0.863636,0.863636,1.1613,1.1613
7,0.4,None,0.636364,0.545455,0.272727,0.78,0.8125
7,0.4,20.0,0.636364,0.545455,0.545455,0.75,0.75
7,0.4,10.0,0.818182,0.818182,0.818182,0.0,0.0
7,0.4,5.0,0.954545,0.818182,0.818182,0.8696,0.8696
7,0.4,0.0,1.0,0.727273,0.727273,0.7556,0.7556
7,0.6,None,0.545455,0.545455,0.272727,0.78,0.8125
7,0.6,20.0,0.772727,0.545455,0.545455,0.78,0.78
7,0.6,10.0,0.772727,0.863636,0.863636,0.0,0.0
7,0.6,5.0,0.818182,0.863636,0.863636,0.0,0.0
7,0.6,0.0,0.954545,0.909091,0.909091,0.0,0.0
7,0.9,None,0.727273,0.545455,0.272727,0.78,0.8125
7,0.9,20.0,0.772727,0.545455,0.545455,0.78,0.78
7,0.9,10.0,0.772727,0.863636,0.863636,0.0,0.0
7,0.9,5.0,0.863636,0.863636,0.863636,0.0,0.0
7,0.9,0.0,1.0,0.863636,0.863636,0.0,0.0
8,0.0,None,0.833333,0.916667,0.583333,0.6316,0.6316
8,0.0,20.0,0.916667,0.833333,0.833333,0.5714,0.5714
8,0.0,10.0,0.75,0.75,0.75,0.5714,0.5714
8,0.0,5.0,0.916667,1.0,1.0,0.625,0.625
8,0.0,0.0,1.0,1.166667,1.166667,0.7105,0.7105
8,0.1,None,0.916667,0.916667,0.583333,0.6316,0.6316
8,0.1,20.0,0.916667,0.833333,0.833333,0.5714,0.5714
8,0.1,10.0,0.916667,1.083333,1.083333,0.6923,0.6923
8,0.1,5.0,0.916667,0.916667,0.916667,0.5714,0.5714
8,0.1,0.0,1.5,1.0,1.0,0.7241,0.7241
8,0.2,None,0.75,0.916667,0.583333,0.6316,0.6316
8,0.2,20.0,0.75,0.833333,0.833333,0.5714,0.5714
8,0.2,10.0,1.083333,1.083333,1.083333,0.6923,0.6923
8,0.2,5.0,1.5,1.0,1.0,0.625,0.625
8,0.2,0.0,1.0,1.0,1.0,0.6786,0.6786
8,0.4,None,0.75,0.583333,0.583333,0.6316,0.6316
8,0.4,20.0,0.666667,0.833333,0.833333,0.5714,0.5714
8,0.4,10.0,0.916667,1.083333,1.083333,0.6207,0.6207
8,0.4,5.0,1.0,1.083333,1.083333,0.6923,0.6923
8,0.4,0.0,1.0,1.0,1.0,0.6562,0.6562
8,0.6,None,0.75,0.583333,0.583333,0.6316,0.6316
8,0.6,20.0,11.166667,0.5,0.5,0.5714,0.5714
8,0.6,10.0,1.0,1.083333,1.083333,0.6923,0.6923
8,0.6,5.0,0.916667,1.0,1.0,0.625,0.625
8,0.6,0.0,1.0,1.0,1.0,0.625,0.625
8,0.9,None,0.916667,0.583333,0.583333,0.6316,0.6316
8,0.9,20.0,0.916667,1.083333,1.083333,0.7826,0.7826
8,0.9,10.0,1.0,1.083333,1.083333,0.6923,0.6923
8,0.9,5.0,1.0,0.916667,0.916667,0.5714,0.5714
8,0.9,0.0,1.0,1.083333,1.083333,0.6667,0.6667
9,0.0,None,0.290323,0.483871,0.580645,0.7179,0.775
9,0.0,20.0,0.193548,0.387097,0.387097,0.775,0.775
9,0.0,10.0,0.483871,0.451613,0.451613,0.7105,0.7105
9,0.0,5.0,0.580645,0.548387,0.548387,0.7317,0.7317
9,0.0,0.0,0.580645,0.806452,0.806452,0.8889,0.8889
9,0.1,None,0.322581,0.580645,0.580645,0.7179,0.775
9,0.1,20.0,0.193548,0.258065,0.258065,0.7556,0.7556
9,0.1,10.0,0.451613,0.483871,0.483871,0.7381,0.7381
9,0.1,5.0,0.419355,0.419355,0.419355,0.7317,0.7317
9,0.1,0.0,0.709677,0.677419,0.677419,0.6562,0.6562
9,0.2,None,0.322581,0.387097,0.580645,0.7179,0.775
9,0.2,20.0,0.419355,0.387097,0.387097,0.775,0.775
9,0.2,10.0,0.451613,0.451613,0.451613,0.75,0.75
9,0.2,5.0,0.677419,0.483871,0.483871,0.8919,0.8919
9,0.2,0.0,0.774194,0.774194,0.774194,0.9545,0.9545
9,0.4,None,0.290323,0.580645,0.580645,0.775,0.775
9,0.4,20.0,0.354839,0.387097,0.387097,0.775,0.775
9,0.4,10.0,0.741935,0.451613,0.451613,0.7708,0.7708
9,0.4,5.0,0.612903,0.483871,0.483871,0.7857,0.7857
9,0.4,0.0,0.806452,5.290323,5.290323,22.6522,22.6522
9,0.6,None,0.548387,0.580645,0.580645,0.775,0.775
9,0.6,20.0,0.677419,0.580645,0.580645,0.7179,0.7179
9,0.6,10.0,0.645161,0.387097,0.387097,0.75,0.75
9,0.6,5.0,0.741935,0.483871,0.483871,0.766,0.766
9,0.6,0.0,0.903226,0.677419,0.677419,0.973,0.973
9,0.9,None,0.709677,0.548387,0.580645,0.775,0.775
9,0.9,20.0,0.741935,0.548387,0.548387,0.775,0.775
9,0.9,10.0,0.741935,0.387097,0.387097,0.75,0.75
9,0.9,5.0,0.774194,0.645161,0.645161,0.766,0.766
9,0.9,0.0,0.806452,0.709677,0.709677,0.625,0.625
