pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
4,0.3,5.0,0.75,0.75,10.95,0.6,0.6,0.55,0.55,0,1,1
4,0.3,0.0,0.7381,22.4,0.9,11.55,11.55,11.75,1.2,0,1,1
4,0.6,None,0.7105,0.75,0.8,0.5,0.5,0.5,0.5,1,1,1
4,0.6,20.0,0.7317,0.75,0.65,0.6,0.6,0.45,0.45,0,1,1
4,0.6,10.0,0.7317,0.7105,0.75,0.6,0.6,0.6,0.6,0,1,1
4,0.6,5.0,0.7692,0.7317,0.8,0.7,0.7,0.7,0.7,0,1,1
4,0.6,0.0,0.7925,1.1613,0.95,1.2,1.2,1.25,1.25,0,1,1
5,0.0,None,0.7105,0.775,0.529412,0.588235,0.470588,0.411765,0.411765,1,1,1
5,0.0,20.0,0.7179,0.75,0.529412,0.588235,0.588235,0.588235,0.647059,0,1,1
5,0.0,10.0,0.7381,0.7273,0.705882,0.588235,0.588235,0.764706,0.764706,0,1,1
5,0.0,5.0,0.725,0.7742,0.823529,0.705882,0.705882,0.705882,0.705882,0,1,1
5,0.0,0.0,15.3182,0.6818,0.941176,6.882353,6.882353,6.882353,0.941176,0,0,1
5,0.1,None,0.7105,16.3333,0.352941,11.647059,0.470588,0.470588,0.411765,1,1,1
5,0.1,20.0,0.6857,0.75,0.529412,0.588235,0.588235,0.705882,0.647059,0,1,1
5,0.1,10.0,0.6667,0.7273,0.705882,0.764706,0.764706,0.764706,0.764706,0,1,1
5,0.1,5.0,0.7381,0.8276,1.0,0.705882,0.705882,0.882353,0.882353,0,1,1
5,0.1,0.0,0.7037,0.6923,1.0,0.941176,0.941176,0.941176,0.941176,0,0,1
5,0.3,None,0.7105,0.7105,0.764706,0.588235,0.470588,0.411765,0.411765,1,1,1
5,0.3,20.0,0.6944,0.7273,0.529412,0.411765,0.411765,0.470588,0.470588,0,1,1
5,0.3,10.0,0.7179,0.75,0.823529,0.823529,0.823529,0.705882,0.705882,0,1,1
5,0.3,5.0,0.6944,0.75,0.823529,0.823529,0.823529,0.882353,0.882353,0,1,1
5,0.3,0.0,0.6944,0.5294,0.882353,1.0,1.0,1.0,0.941176,0,0,1
5,0.6,None,0.7105,0.75,0.823529,0.529412,0.470588,0.411765,0.411765,1,1,1
5,0.6,20.0,0.7105,0.7273,0.941176,0.470588,0.470588,0.647059,0.647059,0,1,1
5,0.6,10.0,0.625,0.7273,0.882353,0.647059,0.647059,0.647059,0.647059,0,1,1
5,0.6,5.0,0.6786,0.75,0.941176,0.823529,0.823529,0.882353,0.882353,0,1,1
5,0.6,0.0,0.775,0.5294,0.941176,0.941176,0.941176,0.882353,0.882353,0,1,1
6,0.0,None,0.7105,0.7105,0.277778,0.277778,0.277778,0.277778,0.277778,1,1,1
6,0.0,20.0,0.8182,0.75,0.277778,0.277778,0.277778,0.277778,0.277778,0,1,1
6,0.0,10.0,0.7317,0.75,0.333333,0.388889,0.388889,0.388889,0.388889,0,1,1
6,0.0,5.0,0.75,0.6857,0.444444,0.833333,0.833333,0.611111,0.611111,0,1,1
6,0.0,0.0,0.7692,0.625,0.777778,0.944444,0.944444,0.944444,0.888889,0,0,1
6,0.1,None,0.7105,0.7317,0.333333,0.333333,0.277778,0.277778,0.277778,1,1,1
6,0.1,20.0,0.7273,0.7317,0.222222,0.444444,0.444444,0.333333,0.333333,0,1,1
6,0.1,10.0,0.7317,0.75,0.166667,0.444444,0.444444,0.555556,0.555556,0,1,1
6,0.1,5.0,0.7105,0.6857,6.222222,0.5,0.5,0.5,0.5,0,1,1
6,0.1,0.0,0.7273,1.6667,0.777778,1.055556,1.055556,0.833333,0.833333,0,1,1
6,0.3,None,0.7105,0.75,0.277778,0.222222,0.277778,0.277778,0.277778,1,1,1
6,0.3,20.0,0.7273,0.75,0.277778,0.333333,0.333333,0.333333,0.277778,0,1,1
6,0.3,10.0,0.7317,0.75,0.555556,0.444444,0.444444,0.444444,0.444444,0,1,1
6,0.3,5.0,0.7273,0.6857,0.555556,0.5,0.5,0.888889,0.888889,0,1,1
6,0.3,0.0,0.75,0.625,0.444444,0.944444,0.944444,0.944444,0.833333,0,1,1
6,0.6,None,0.7105,0.75,0.666667,0.222222,0.277778,0.277778,0.277778,1,1,1
6,0.6,20.0,0.7273,0.75,0.5,0.333333,0.333333,0.277778,0.333333,0,1,1
6,0.6,10.0,0.7317,0.75,0.5,0.388889,0.388889,0.555556,0.555556,0,1,1
6,0.6,5.0,0.6857,0.6667,0.666667,0.722222,0.722222,0.777778,0.777778,0,1,1
6,0.6,0.0,0.6562,0.6857,0.777778,0.5,0.5,0.777778,0.888889,0,1,1
7,0.0,None,0.78,0.7576,0.409091,0.5,0.272727,0.272727,0.318182,1,1,1
7,0.0,20.0,0.78,0.7576,0.5,0.545455,0.545455,0.409091,0.409091,0,1,1
7,0.0,10.0,0.0,0.6765,0.681818,0.863636,0.863636,0.863636,0.863636,0,1,1
7,0.0,5.0,0.7708,0.7333,0.636364,0.681818,0.681818,0.681818,0.681818,0,1,1
7,0.0,0.0,0.75,0.7568,1.045455,0.772727,0.772727,0.772727,0.863636,0,1,1
7,0.1,None,0.78,0.7576,0.727273,0.5,0.272727,0.272727,0.318182,1,1,1
7,0.1,20.0,0.7857,0.7333,0.590909,0.5,0.5,0.409091,0.409091,0,1,1
7,0.1,10.0,0.8679,0.7027,0.590909,0.727273,0.727273,0.590909,0.590909,0,1,1
7,0.1,5.0,0.75,0.7333,0.5,0.727273,0.727273,0.863636,0.863636,0,1,1
7,0.1,0.0,0.0,0.5714,0.909091,0.909091,0.909091,0.909091,0.909091,0,1,1
7,0.3,None,0.78,0.7576,0.363636,0.5,0.272727,0.272727,0.318182,1,1,1
7,0.3,20.0,0.78,0.7576,0.636364,0.545455,0.545455,0.545455,0.590909,0,1,1
7,0.3,10.0,0.902,0.7333,0.636364,0.590909,0.590909,0.772727,0.772727,0,1,1
7,0.3,5.0,0.8333,0.6765,0.590909,0.863636,0.863636,0.863636,0.863636,0,1,1
7,0.3,0.0,0.84,0.7027,10.136364,0.727273,0.727273,0.727273,0.863636,0,1,1
7,0.6,None,0.78,0.7576,0.545455,0.545455,0.272727,0.272727,0.318182,1,1,1
7,0.6,20.0,0.78,0.7576,0.772727,0.545455,0.545455,0.545455,0.545455,0,1,1
7,0.6,10.0,0.0,0.7419,0.772727,0.863636,0.863636,0.863636,0.863636,0,1,1
7,0.6,5.0,0.0,0.7419,0.818182,0.863636,0.863636,0.863636,0.863636,0,1,1
